defect_id,product_id,defect_type,defect_date,defect_location,severity,inspection_method,repair_cost,month,year
36,20,Structural,2024-06-04,Surface,Critical,Automated Testing,776.91,6,2024
37,68,Cosmetic,2024-01-20,Internal,Critical,Manual Testing,607.96,1,2024
38,51,Functional,2024-06-08,Internal,Moderate,Automated Testing,107.7,6,2024
39,12,Functional,2024-06-25,Internal,Critical,Manual Testing,27.24,6,2024
40,92,Cosmetic,2024-01-06,Surface,Critical,Visual Inspection,370.83,1,2024
41,63,Functional,2024-03-11,Component,Minor,Manual Testing,526.08,3,2024
42,49,Functional,2024-05-18,Surface,Critical,Automated Testing,144.38,5,2024
43,72,Cosmetic,2024-03-23,Surface,Moderate,Visual Inspection,534.33,3,2024
44,24,Structural,2024-05-18,Surface,Minor,Visual Inspection,456.8,5,2024
45,64,Functional,2024-05-27,Surface,Minor,Automated Testing,215.01,5,2024
46,36,Structural,2024-04-24,Surface,Moderate,Manual Testing,824.3,4,2024
47,79,Structural,2024-02-14,Component,Critical,Manual Testing,769.28,2,2024
48,36,Structural,2024-01-03,Component,Moderate,Manual Testing,160.25,1,2024
49,65,Functional,2024-02-24,Component,Minor,Automated Testing,386.17,2,2024
50,9,Functional,2024-01-06,Component,Moderate,Manual Testing,572.08,1,2024
51,10,Structural,2024-06-26,Internal,Minor,Visual Inspection,433.85,6,2024
52,7,Structural,2024-05-19,Surface,Minor,Manual Testing,338.1,5,2024
53,81,Functional,2024-01-03,Surface,Critical,Automated Testing,93.13,1,2024
54,62,Cosmetic,2024-05-14,Component,Moderate,Visual Inspection,308.37,5,2024
55,29,Structural,2024-03-23,Internal,Critical,Automated Testing,396.58,3,2024
56,73,Structural,2024-01-19,Surface,Minor,Automated Testing,957.6,1,2024
57,86,Structural,2024-03-06,Internal,Moderate,Automated Testing,205.19,3,2024
58,5,Cosmetic,2024-05-25,Component,Critical,Manual Testing,300.27,5,2024
59,79,Structural,2024-03-10,Internal,Critical,Automated Testing,671.22,3,2024
60,87,Functional,2024-02-18,Surface,Minor,Visual Inspection,395.1,2,2024
61,60,Structural,2024-06-11,Component,Critical,Visual Inspection,675.89,6,2024
62,43,Cosmetic,2024-03-08,Component,Moderate,Visual Inspection,523.02,3,2024
63,52,Structural,2024-01-02,Surface,Critical,Manual Testing,337.5,1,2024
64,2,Cosmetic,2024-01-11,Surface,Minor,Automated Testing,830.89,1,2024
65,22,Functional,2024-04-16,Component,Critical,Visual Inspection,84.97,4,2024
66,31,Functional,2024-05-24,Internal,Minor,Visual Inspection,771.96,5,2024
67,87,Functional,2024-03-15,Internal,Minor,Automated Testing,46.43,3,2024
68,11,Cosmetic,2024-04-16,Internal,Minor,Automated Testing,31.91,4,2024
69,33,Cosmetic,2024-05-19,Component,Moderate,Automated Testing,845.8,5,2024
70,17,Functional,2024-02-19,Component,Minor,Manual Testing,729.55,2,2024
71,71,Cosmetic,2024-03-05,Surface,Moderate,Automated Testing,187.03,3,2024
72,35,Structural,2024-06-29,Component,Moderate,Automated Testing,470.35,6,2024
73,15,Functional,2024-05-20,Internal,Minor,Visual Inspection,662.35,5,2024
74,43,Functional,2024-04-04,Component,Critical,Visual Inspection,509.97,4,2024
75,2,Functional,2024-01-03,Component,Critical,Manual Testing,352.33,1,2024
76,36,Functional,2024-03-27,Surface,Minor,Manual Testing,228.22,3,2024
77,64,Functional,2024-02-06,Component,Critical,Manual Testing,632.45,2,2024
78,28,Functional,2024-06-20,Component,Critical,Automated Testing,975.87,6,2024
79,69,Structural,2024-03-23,Internal,Moderate,Visual Inspection,967.14,3,2024
80,75,Structural,2024-01-11,Surface,Moderate,Automated Testing,992.69,1,2024
81,69,Functional,2024-03-14,Surface,Minor,Manual Testing,827.74,3,2024
82,74,Structural,2024-04-02,Component,Critical,Automated Testing,270.97,4,2024
83,69,Structural,2024-04-11,Surface,Critical,Visual Inspection,712.98,4,2024
84,11,Structural,2024-06-24,Component,Critical,Manual Testing,556.05,6,2024
85,92,Structural,2024-04-27,Component,Minor,Manual Testing,200.11,4,2024
86,70,Structural,2024-01-14,Component,Moderate,Automated Testing,660.05,1,2024
87,22,Structural,2024-01-21,Component,Moderate,Manual Testing,220.96,1,2024
88,9,Functional,2024-02-09,Component,Critical,Visual Inspection,776.54,2,2024
89,6,Functional,2024-05-01,Surface,Moderate,Visual Inspection,920.26,5,2024
90,58,Structural,2024-02-17,Internal,Moderate,Visual Inspection,492.22,2,2024
91,98,Cosmetic,2024-03-07,Surface,Critical,Manual Testing,513.45,3,2024
92,93,Functional,2024-06-30,Component,Moderate,Automated Testing,286.28,6,2024
93,10,Functional,2024-04-01,Surface,Minor,Automated Testing,698.89,4,2024
94,72,Cosmetic,2024-02-02,Internal,Critical,Visual Inspection,555.25,2,2024
95,36,Cosmetic,2024-05-16,Component,Moderate,Manual Testing,465.92,5,2024
96,11,Structural,2024-03-08,Component,Critical,Manual Testing,732.13,3,2024
97,56,Structural,2024-03-15,Component,Moderate,Automated Testing,582.46,3,2024
98,67,Cosmetic,2024-03-10,Component,Moderate,Visual Inspection,647.7,3,2024
99,67,Structural,2024-04-08,Component,Critical,Visual Inspection,536.57,4,2024
100,8,Functional,2024-04-24,Surface,Minor,Visual Inspection,673.85,4,2024
101,27,Structural,2024-01-25,Internal,Minor,Manual Testing,871.1,1,2024
102,79,Structural,2024-06-25,Internal,Critical,Visual Inspection,973.66,6,2024
103,87,Functional,2024-05-31,Internal,Critical,Visual Inspection,787.42,5,2024
104,1,Structural,2024-06-25,Surface,Minor,Manual Testing,338.48,6,2024
105,49,Structural,2024-04-30,Component,Critical,Visual Inspection,922.07,4,2024
106,9,Functional,2024-05-14,Surface,Moderate,Manual Testing,137.41,5,2024
107,63,Structural,2024-06-28,Surface,Critical,Automated Testing,17.89,6,2024
108,97,Cosmetic,2024-01-26,Surface,Moderate,Manual Testing,210.3,1,2024
109,1,Cosmetic,2024-02-22,Component,Critical,Automated Testing,978.5,2,2024
110,44,Functional,2024-03-05,Surface,Minor,Visual Inspection,381.15,3,2024
111,27,Structural,2024-05-06,Component,Moderate,Manual Testing,302.42,5,2024
112,9,Cosmetic,2024-01-12,Component,Minor,Automated Testing,813.46,1,2024
113,67,Cosmetic,2024-04-08,Surface,Minor,Automated Testing,998.27,4,2024
114,83,Functional,2024-01-25,Component,Critical,Manual Testing,498.47,1,2024
115,66,Functional,2024-04-30,Internal,Moderate,Visual Inspection,362.23,4,2024
116,36,Cosmetic,2024-01-09,Internal,Critical,Visual Inspection,194.79,1,2024
117,64,Cosmetic,2024-01-11,Surface,Moderate,Visual Inspection,677.65,1,2024
118,66,Structural,2024-04-10,Surface,Critical,Manual Testing,310.8,4,2024
119,99,Structural,2024-03-05,Surface,Minor,Visual Inspection,717.21,3,2024
120,80,Functional,2024-03-08,Component,Critical,Manual Testing,641.58,3,2024
121,86,Structural,2024-06-09,Internal,Minor,Manual Testing,520.84,6,2024
122,51,Structural,2024-04-16,Surface,Critical,Manual Testing,271.18,4,2024
123,79,Cosmetic,2024-02-04,Internal,Minor,Manual Testing,657.81,2,2024
124,100,Functional,2024-03-27,Internal,Moderate,Manual Testing,620.66,3,2024
125,86,Cosmetic,2024-03-10,Surface,Critical,Visual Inspection,533.03,3,2024
126,29,Structural,2024-02-01,Surface,Minor,Visual Inspection,21.77,2,2024
127,68,Cosmetic,2024-05-19,Surface,Minor,Manual Testing,302.22,5,2024
128,92,Cosmetic,2024-03-02,Internal,Moderate,Automated Testing,895.38,3,2024
129,14,Cosmetic,2024-06-20,Surface,Critical,Visual Inspection,241.61,6,2024
130,72,Cosmetic,2024-04-06,Internal,Critical,Automated Testing,878.46,4,2024
131,61,Functional,2024-05-15,Internal,Critical,Visual Inspection,268.08,5,2024
132,63,Structural,2024-04-23,Surface,Critical,Visual Inspection,492.32,4,2024
133,86,Structural,2024-03-20,Surface,Moderate,Manual Testing,379.78,3,2024
134,98,Cosmetic,2024-02-03,Surface,Moderate,Visual Inspection,498.71,2,2024
135,61,Cosmetic,2024-02-15,Internal,Moderate,Automated Testing,379.01,2,2024
136,67,Functional,2024-02-21,Internal,Minor,Automated Testing,79.52,2,2024
137,2,Functional,2024-04-19,Internal,Critical,Automated Testing,602.25,4,2024
138,11,Structural,2024-03-05,Component,Critical,Automated Testing,575.71,3,2024
139,58,Cosmetic,2024-06-24,Surface,Critical,Visual Inspection,760.33,6,2024
140,68,Functional,2024-04-04,Internal,Critical,Manual Testing,955.54,4,2024
141,28,Cosmetic,2024-01-06,Internal,Minor,Visual Inspection,679.88,1,2024
142,63,Structural,2024-03-25,Internal,Critical,Visual Inspection,71.91,3,2024
143,100,Functional,2024-05-27,Internal,Moderate,Manual Testing,916.79,5,2024
144,45,Cosmetic,2024-06-18,Internal,Moderate,Manual Testing,558.34,6,2024
145,25,Structural,2024-01-16,Internal,Minor,Manual Testing,23.02,1,2024
146,43,Cosmetic,2024-04-26,Internal,Minor,Visual Inspection,346.23,4,2024
147,45,Structural,2024-04-05,Internal,Critical,Automated Testing,926.31,4,2024
148,84,Cosmetic,2024-01-29,Internal,Critical,Automated Testing,783.88,1,2024
149,41,Cosmetic,2024-01-25,Surface,Moderate,Automated Testing,747.18,1,2024
150,53,Functional,2024-03-22,Surface,Critical,Manual Testing,415.84,3,2024
151,61,Structural,2024-06-07,Component,Minor,Visual Inspection,502.15,6,2024
152,97,Structural,2024-01-27,Internal,Moderate,Manual Testing,94.7,1,2024
153,63,Cosmetic,2024-01-09,Surface,Minor,Manual Testing,426.04,1,2024
154,75,Cosmetic,2024-05-03,Surface,Moderate,Automated Testing,380.52,5,2024
155,10,Structural,2024-01-24,Component,Minor,Visual Inspection,935.64,1,2024
156,56,Functional,2024-05-21,Internal,Minor,Manual Testing,595.9,5,2024
157,96,Functional,2024-05-07,Surface,Minor,Manual Testing,788.22,5,2024
158,96,Functional,2024-01-16,Surface,Critical,Visual Inspection,465.74,1,2024
159,77,Structural,2024-05-19,Internal,Moderate,Automated Testing,661.8,5,2024
160,91,Structural,2024-05-17,Surface,Moderate,Manual Testing,532.77,5,2024
161,56,Cosmetic,2024-05-21,Component,Minor,Visual Inspection,612.03,5,2024
162,56,Functional,2024-02-09,Component,Moderate,Manual Testing,614.11,2,2024
163,12,Cosmetic,2024-01-30,Surface,Minor,Manual Testing,238.39,1,2024
164,6,Structural,2024-04-20,Internal,Minor,Visual Inspection,986.51,4,2024
165,30,Cosmetic,2024-05-06,Component,Critical,Automated Testing,796.76,5,2024
166,34,Functional,2024-02-15,Component,Minor,Visual Inspection,105.27,2,2024
167,99,Cosmetic,2024-01-27,Surface,Moderate,Automated Testing,950.97,1,2024
168,14,Structural,2024-06-29,Surface,Critical,Visual Inspection,517.41,6,2024
169,70,Cosmetic,2024-06-03,Surface,Critical,Manual Testing,789.62,6,2024
170,4,Functional,2024-05-16,Internal,Moderate,Visual Inspection,942.03,5,2024
171,74,Cosmetic,2024-04-26,Surface,Moderate,Manual Testing,352.05,4,2024
172,25,Cosmetic,2024-01-02,Component,Critical,Automated Testing,10.22,1,2024
173,74,Cosmetic,2024-03-29,Component,Moderate,Automated Testing,932.23,3,2024
174,51,Functional,2024-05-29,Surface,Critical,Automated Testing,715.22,5,2024
175,6,Structural,2024-02-19,Internal,Moderate,Manual Testing,999.64,2,2024
176,13,Structural,2024-03-09,Surface,Critical,Manual Testing,952.49,3,2024
177,34,Structural,2024-01-21,Internal,Minor,Manual Testing,174.76,1,2024
178,51,Functional,2024-01-17,Internal,Minor,Visual Inspection,755.15,1,2024
179,44,Structural,2024-04-23,Surface,Moderate,Automated Testing,532.6,4,2024
180,64,Structural,2024-01-07,Component,Minor,Manual Testing,854.25,1,2024
181,91,Functional,2024-02-29,Internal,Minor,Automated Testing,383.83,2,2024
182,80,Functional,2024-01-27,Internal,Moderate,Manual Testing,80.0,1,2024
183,8,Structural,2024-02-02,Component,Critical,Visual Inspection,970.31,2,2024
184,14,Functional,2024-02-09,Internal,Moderate,Visual Inspection,517.63,2,2024
185,64,Structural,2024-01-15,Surface,Moderate,Automated Testing,81.33,1,2024
186,21,Structural,2024-03-29,Component,Critical,Manual Testing,540.92,3,2024
187,13,Cosmetic,2024-04-27,Internal,Critical,Visual Inspection,280.77,4,2024
188,56,Structural,2024-06-02,Internal,Moderate,Automated Testing,87.28,6,2024
189,95,Cosmetic,2024-02-23,Surface,Minor,Manual Testing,306.56,2,2024
190,4,Functional,2024-06-22,Surface,Critical,Automated Testing,86.46,6,2024
191,80,Cosmetic,2024-01-12,Surface,Critical,Manual Testing,13.03,1,2024
192,95,Functional,2024-03-21,Component,Critical,Visual Inspection,525.07,3,2024
193,28,Cosmetic,2024-05-21,Component,Critical,Manual Testing,219.71,5,2024
194,1,Structural,2024-03-03,Component,Critical,Visual Inspection,192.21,3,2024
195,17,Structural,2024-02-18,Component,Moderate,Automated Testing,924.13,2,2024
196,18,Structural,2024-06-21,Component,Minor,Manual Testing,65.23,6,2024
197,76,Cosmetic,2024-05-28,Internal,Moderate,Automated Testing,481.7,5,2024
198,28,Cosmetic,2024-04-14,Surface,Minor,Manual Testing,561.27,4,2024
199,75,Structural,2024-01-30,Internal,Moderate,Visual Inspection,169.54,1,2024
200,78,Cosmetic,2024-04-04,Surface,Moderate,Visual Inspection,629.38,4,2024
201,8,Cosmetic,2024-01-04,Surface,Critical,Automated Testing,783.36,1,2024
202,97,Structural,2024-05-25,Surface,Moderate,Automated Testing,102.88,5,2024
203,22,Structural,2024-04-05,Component,Minor,Manual Testing,269.04,4,2024
204,82,Functional,2024-01-20,Surface,Moderate,Visual Inspection,257.33,1,2024
205,17,Structural,2024-05-28,Component,Critical,Automated Testing,824.37,5,2024
206,59,Functional,2024-05-29,Surface,Minor,Manual Testing,303.59,5,2024
207,69,Functional,2024-04-22,Internal,Critical,Automated Testing,793.3,4,2024
208,22,Functional,2024-01-31,Surface,Critical,Manual Testing,929.05,1,2024
209,76,Functional,2024-05-20,Internal,Moderate,Manual Testing,473.36,5,2024
210,59,Functional,2024-01-25,Surface,Minor,Automated Testing,478.17,1,2024
211,61,Structural,2024-03-12,Component,Critical,Manual Testing,430.49,3,2024
212,69,Functional,2024-05-07,Surface,Moderate,Automated Testing,460.93,5,2024
213,75,Cosmetic,2024-01-30,Internal,Moderate,Visual Inspection,917.3,1,2024
214,42,Structural,2024-01-02,Surface,Minor,Manual Testing,520.21,1,2024
215,38,Functional,2024-01-07,Internal,Critical,Manual Testing,575.58,1,2024
216,5,Structural,2024-01-13,Internal,Moderate,Visual Inspection,296.41,1,2024
217,10,Cosmetic,2024-05-28,Surface,Critical,Automated Testing,622.98,5,2024
218,21,Functional,2024-05-10,Internal,Critical,Visual Inspection,484.08,5,2024
219,92,Cosmetic,2024-04-26,Component,Critical,Manual Testing,479.31,4,2024
220,29,Functional,2024-04-05,Surface,Minor,Manual Testing,624.22,4,2024
221,49,Functional,2024-06-11,Component,Critical,Manual Testing,777.18,6,2024
222,28,Functional,2024-02-12,Component,Critical,Automated Testing,842.93,2,2024
223,87,Cosmetic,2024-01-26,Surface,Critical,Manual Testing,974.99,1,2024
224,51,Functional,2024-04-24,Component,Critical,Manual Testing,989.81,4,2024
225,64,Structural,2024-04-23,Component,Moderate,Visual Inspection,484.04,4,2024
226,77,Cosmetic,2024-06-04,Internal,Minor,Automated Testing,38.39,6,2024
227,23,Functional,2024-06-23,Surface,Minor,Visual Inspection,334.53,6,2024
228,89,Functional,2024-02-04,Component,Moderate,Manual Testing,580.74,2,2024
229,30,Functional,2024-03-24,Surface,Critical,Manual Testing,638.28,3,2024
230,88,Structural,2024-01-28,Component,Minor,Manual Testing,727.86,1,2024
231,47,Structural,2024-03-11,Internal,Moderate,Manual Testing,117.74,3,2024
232,74,Functional,2024-05-25,Component,Critical,Automated Testing,891.94,5,2024
233,53,Structural,2024-03-17,Surface,Minor,Visual Inspection,440.58,3,2024
234,39,Structural,2024-02-17,Internal,Minor,Automated Testing,310.96,2,2024
235,4,Cosmetic,2024-01-28,Internal,Critical,Manual Testing,430.74,1,2024
236,29,Cosmetic,2024-05-05,Surface,Minor,Automated Testing,47.99,5,2024
237,31,Cosmetic,2024-06-30,Component,Moderate,Visual Inspection,728.13,6,2024
238,75,Structural,2024-02-06,Component,Critical,Visual Inspection,890.35,2,2024
239,88,Functional,2024-03-12,Surface,Minor,Manual Testing,356.55,3,2024
240,14,Structural,2024-05-04,Internal,Moderate,Visual Inspection,271.51,5,2024
241,80,Structural,2024-03-19,Surface,Minor,Manual Testing,288.31,3,2024
242,13,Functional,2024-02-08,Component,Critical,Automated Testing,663.49,2,2024
243,5,Functional,2024-06-18,Internal,Moderate,Manual Testing,711.77,6,2024
244,67,Structural,2024-06-04,Surface,Moderate,Visual Inspection,822.12,6,2024
245,35,Cosmetic,2024-05-27,Component,Critical,Visual Inspection,889.52,5,2024
246,81,Structural,2024-03-30,Surface,Minor,Automated Testing,471.55,3,2024
247,24,Cosmetic,2024-04-22,Internal,Critical,Automated Testing,136.69,4,2024
248,65,Structural,2024-03-27,Component,Minor,Automated Testing,148.61,3,2024
249,13,Structural,2024-05-16,Surface,Moderate,Manual Testing,768.39,5,2024
250,65,Cosmetic,2024-06-07,Component,Moderate,Manual Testing,545.52,6,2024
251,33,Structural,2024-01-29,Component,Moderate,Automated Testing,978.58,1,2024
252,92,Cosmetic,2024-05-16,Internal,Critical,Visual Inspection,62.59,5,2024
253,25,Functional,2024-05-01,Component,Minor,Automated Testing,146.53,5,2024
254,33,Functional,2024-05-02,Surface,Minor,Automated Testing,168.3,5,2024
255,63,Cosmetic,2024-01-02,Internal,Critical,Manual Testing,225.2,1,2024
256,23,Structural,2024-06-18,Surface,Minor,Manual Testing,875.37,6,2024
257,47,Structural,2024-06-03,Surface,Minor,Manual Testing,772.77,6,2024
258,78,Structural,2024-05-07,Component,Minor,Automated Testing,617.12,5,2024
259,74,Functional,2024-03-20,Surface,Moderate,Manual Testing,900.61,3,2024
260,70,Structural,2024-03-03,Surface,Minor,Manual Testing,159.25,3,2024
261,59,Functional,2024-03-02,Internal,Minor,Manual Testing,16.62,3,2024
262,77,Functional,2024-02-25,Surface,Minor,Automated Testing,906.96,2,2024
263,96,Functional,2024-05-03,Internal,Minor,Manual Testing,446.61,5,2024
264,39,Structural,2024-01-29,Surface,Minor,Manual Testing,406.06,1,2024
265,54,Structural,2024-06-08,Component,Minor,Automated Testing,286.25,6,2024
266,74,Structural,2024-06-22,Surface,Critical,Manual Testing,319.6,6,2024
267,57,Functional,2024-06-04,Surface,Moderate,Manual Testing,798.16,6,2024
268,48,Functional,2024-01-05,Component,Critical,Manual Testing,674.23,1,2024
269,99,Cosmetic,2024-03-09,Component,Minor,Manual Testing,940.48,3,2024
270,71,Functional,2024-04-05,Internal,Critical,Visual Inspection,42.63,4,2024
271,37,Cosmetic,2024-06-26,Surface,Critical,Automated Testing,433.02,6,2024
272,65,Structural,2024-04-09,Internal,Minor,Manual Testing,606.91,4,2024
273,94,Structural,2024-06-15,Surface,Moderate,Automated Testing,129.41,6,2024
274,83,Cosmetic,2024-02-05,Surface,Critical,Manual Testing,444.1,2,2024
275,71,Functional,2024-05-29,Surface,Moderate,Manual Testing,634.26,5,2024
276,46,Cosmetic,2024-01-13,Surface,Moderate,Manual Testing,672.89,1,2024
277,56,Functional,2024-05-22,Internal,Minor,Visual Inspection,557.67,5,2024
278,34,Functional,2024-06-22,Internal,Minor,Manual Testing,272.53,6,2024
279,19,Structural,2024-02-17,Internal,Minor,Visual Inspection,503.24,2,2024
280,27,Functional,2024-04-23,Surface,Critical,Visual Inspection,611.37,4,2024
281,69,Cosmetic,2024-01-24,Surface,Minor,Visual Inspection,501.54,1,2024
282,90,Structural,2024-05-20,Surface,Minor,Manual Testing,290.23,5,2024
283,63,Cosmetic,2024-01-30,Internal,Moderate,Manual Testing,195.84,1,2024
284,86,Structural,2024-04-09,Internal,Moderate,Visual Inspection,88.05,4,2024
285,82,Structural,2024-05-17,Surface,Critical,Manual Testing,97.99,5,2024
286,65,Structural,2024-06-19,Internal,Critical,Visual Inspection,349.24,6,2024
287,14,Structural,2024-01-31,Internal,Critical,Manual Testing,421.51,1,2024
288,48,Structural,2024-05-26,Internal,Critical,Manual Testing,422.77,5,2024
289,61,Structural,2024-02-07,Internal,Minor,Automated Testing,925.03,2,2024
290,35,Structural,2024-02-27,Internal,Minor,Automated Testing,319.58,2,2024
291,67,Functional,2024-04-22,Surface,Moderate,Automated Testing,556.42,4,2024
292,16,Structural,2024-02-04,Surface,Minor,Automated Testing,818.54,2,2024
293,44,Structural,2024-01-02,Internal,Moderate,Automated Testing,320.62,1,2024
294,80,Cosmetic,2024-03-31,Internal,Moderate,Manual Testing,178.82,3,2024
295,83,Structural,2024-02-29,Surface,Critical,Manual Testing,237.65,2,2024
296,93,Structural,2024-03-14,Component,Moderate,Manual Testing,658.16,3,2024
297,43,Structural,2024-01-23,Surface,Minor,Visual Inspection,326.58,1,2024
298,87,Cosmetic,2024-02-14,Surface,Minor,Manual Testing,301.61,2,2024
299,56,Cosmetic,2024-05-26,Surface,Minor,Visual Inspection,357.56,5,2024
300,3,Functional,2024-04-26,Internal,Critical,Manual Testing,358.21,4,2024
301,22,Structural,2024-05-03,Surface,Moderate,Manual Testing,89.91,5,2024
302,85,Cosmetic,2024-05-06,Internal,Minor,Automated Testing,18.42,5,2024
303,80,Functional,2024-04-25,Component,Moderate,Visual Inspection,294.31,4,2024
304,17,Functional,2024-04-24,Internal,Minor,Visual Inspection,865.96,4,2024
305,35,Cosmetic,2024-06-12,Component,Minor,Visual Inspection,578.28,6,2024
306,39,Structural,2024-02-13,Surface,Critical,Visual Inspection,495.87,2,2024
307,30,Functional,2024-06-19,Component,Minor,Visual Inspection,728.39,6,2024
308,47,Cosmetic,2024-01-08,Component,Minor,Manual Testing,949.72,1,2024
309,24,Structural,2024-03-23,Component,Moderate,Manual Testing,56.12,3,2024
310,76,Structural,2024-05-26,Component,Moderate,Automated Testing,56.35,5,2024
311,38,Structural,2024-04-08,Internal,Minor,Manual Testing,651.35,4,2024
312,47,Cosmetic,2024-02-23,Component,Minor,Manual Testing,471.27,2,2024
313,82,Cosmetic,2024-05-29,Surface,Moderate,Visual Inspection,732.6,5,2024
314,36,Cosmetic,2024-02-19,Component,Minor,Automated Testing,865.3,2,2024
315,40,Functional,2024-01-15,Internal,Minor,Automated Testing,49.2,1,2024
316,28,Cosmetic,2024-06-09,Surface,Critical,Manual Testing,567.72,6,2024
317,31,Cosmetic,2024-01-09,Surface,Moderate,Visual Inspection,490.53,1,2024
318,34,Functional,2024-03-03,Component,Minor,Manual Testing,11.38,3,2024
319,56,Functional,2024-02-23,Component,Moderate,Visual Inspection,409.72,2,2024
320,45,Functional,2024-01-05,Component,Minor,Visual Inspection,515.07,1,2024
321,32,Structural,2024-06-06,Component,Moderate,Visual Inspection,42.44,6,2024
322,54,Functional,2024-05-30,Internal,Critical,Automated Testing,883.58,5,2024
323,44,Structural,2024-06-08,Internal,Minor,Automated Testing,624.98,6,2024
324,97,Functional,2024-04-06,Component,Minor,Manual Testing,195.74,4,2024
325,15,Functional,2024-04-15,Internal,Moderate,Manual Testing,241.22,4,2024
326,97,Cosmetic,2024-04-29,Component,Minor,Manual Testing,441.18,4,2024
327,17,Structural,2024-04-01,Component,Critical,Manual Testing,274.09,4,2024
328,91,Functional,2024-06-08,Surface,Moderate,Visual Inspection,268.52,6,2024
329,92,Structural,2024-01-02,Component,Critical,Automated Testing,170.44,1,2024
330,72,Functional,2024-03-01,Component,Moderate,Automated Testing,386.43,3,2024
331,74,Functional,2024-03-01,Surface,Minor,Manual Testing,970.98,3,2024
332,7,Functional,2024-05-16,Component,Minor,Automated Testing,751.73,5,2024
333,24,Functional,2024-04-22,Component,Minor,Automated Testing,285.85,4,2024
334,10,Structural,2024-03-15,Internal,Critical,Manual Testing,478.75,3,2024
335,26,Cosmetic,2024-02-29,Surface,Minor,Automated Testing,884.79,2,2024
336,92,Cosmetic,2024-04-13,Surface,Moderate,Automated Testing,44.73,4,2024
337,68,Cosmetic,2024-05-24,Component,Minor,Automated Testing,952.79,5,2024
338,31,Cosmetic,2024-01-03,Component,Moderate,Manual Testing,959.59,1,2024
339,41,Structural,2024-02-15,Component,Moderate,Visual Inspection,312.25,2,2024
340,95,Cosmetic,2024-06-23,Component,Minor,Visual Inspection,658.47,6,2024
341,17,Functional,2024-05-03,Surface,Minor,Manual Testing,243.25,5,2024
342,4,Cosmetic,2024-05-24,Internal,Moderate,Automated Testing,199.65,5,2024
343,96,Functional,2024-01-30,Component,Minor,Visual Inspection,471.43,1,2024
344,81,Functional,2024-02-06,Component,Moderate,Visual Inspection,756.85,2,2024
345,61,Structural,2024-05-31,Internal,Critical,Visual Inspection,369.06,5,2024
346,97,Cosmetic,2024-06-14,Surface,Minor,Manual Testing,326.19,6,2024
